exam_code;exam_weighting;dmt
CTA2WCP;1.4;
CTA3L;1.2;
CTAA1;1.2;
CTAAWC;1.2;
CTAAWCP;1.4;
CTAAWP;1.2;
CTAB;1;
CTAB1;1;
CTACH3D;1;
CTAL2;1.2;hpb
CTAL2WCP;1.6;hpb
CTALE2B;1.4;
CTALWCP;1.6;hpb
CTALWP;1.4;hpb
CTAP;1.2;hpb
CTAP3L;1.4;hpb
CTAPC;1.2;
CTAPCE;1.2;
CTAPEL2;1;
CTAPNC;1.2;
CTAPWC;1.4;hpb
CTAPWCP;1.6;hpb
CTAPWP;1.4;hpb
CTARM1L;1;
CTARM1R;1;
CTARMR;1;
CTCA3L;1.4;hpb
CTCAC;1.2;
CTCANC;1.2;
CTCAP3L;1.6;hpb
CTCAPC;1.4;
CTCAPNC;1.4;
CTCDA;1;chest
CTCDA1;1;chest
CTCH;1;
CTCH1;1;
CTCHN;1.2;chest
CTCHN1;1.2;chest
CTCHSLD;1;chest
CTCYSTO;1;gu
CTDVT1;1.6;
CTENTER;1.2;rectal
CTHRC0;1;
CTKP;1;
CTKPWC;1.2;
CTKPWP;1.2;
CTKSTONE;1;
CTL4PH;1.2;hpb
CTL4PHWC;1.4;hpb
CTL4PHWCP;1.6;hpb
CTL4PHWP;1.4;hpb
CTLEG1B;1.2;
CTLEG1L;1;
CTLEG1R;1;
CTLEGL;1;
CTLEGR;1;
CTPANL2;1;
CTPE;1.2;
CTPEL;1;
CTPEL1;1;
CTPEWAP;1.6;
CTURO;1.4;gu
CTUROC;1.6;gu
CTVARM1R;1;
CTVC1;1.2;
CTVICOLON1;1.6;should not be assigned
FCDCTABPL;1.2;
FCDCTCAP;1.4;
FCDCTCH;1;
FCDCTWB;1.6;
INTFCTCD;1.6;should not be assigned
FCDMRAP;1.4;
FCDMRARM;1;
FCDMRCH;1;
FCDMRLEG;1;
FCDMRPROS;1.2;
MRABD2;1.2;
MRABPELC;1.4;
MRABPELCC;1.4;
MRABPELNC;1.4;
MRADREN;1;
MRADREN2;1;
MRANKB0;1.2;
MRANKL0;1;
MRANKL2;1;
MRANKR0;1;
MRANKR2;1;
MRAXL2;1;
MRBLAD2;1;
MRCH2;1;
MRCHO0;1.2;
MRCHO2;1.2;
MRELBR0;1;
MRENTER2;1.2;
MRFEMB2;1.4;
MRFEML;1.2;
MRFEML2;1.2;
MRFEMR;1.2;
MRFEMR2;1.2;
MRFORER2;1.2;
MRFTL2;1.2;
MRFTR2;1.2;
MRGYN2;1.2;
MRHIPL0;1.2;
MRHIPL2;1.2;
MRHIPR2;1.2;
MRHUML2;1.2;
MRHUMR0;1.2;
MRHUMR2;1.2;
MRKNEEB2;1.4;
MRKNEEL0;1.2;
MRKNEEL2;1.2;
MRKNEER0;1.2;
MRKNEER2;1.2;
MRLIV0;1.2;
MRLIV2;1.2;
MRLIVIQ0;1.2;
MRLIVIQ2;1.2;
MRPEL2;1.2;
MRPPOST0;1.2;
MRPPOST2;1.2;
MRPPOSWWB2;2;
MRPPREWWB0;2;
MRPRPRE0;1.2;
MRPRPRE2;1.2;
MRRECT0;1.2;
MRRECT2;1.2;
MRRP;1.2;
MRRP2;1.2;
MRSHOL0;1;
MRSHOL2;1;
MRSHOR0;1;
MRSHOR2;1;
MRTFL2;1;
MRTFR2;1;
MRURO;1.4;
MRWB;1.8;
MRWB2;1.8;
MRWBL0;1.8;
MRWBRS0;1.8;
MRWBRS2;1.8;
MRWRL2;1;
MRWRR0;1;
MRWRR2;1;
USAB1;0.6;
USABD;0.6;
USABDLIV;0.6;
USABDLSP;0.6;
USABREN;0.6;
USAL;0.6;
USBXFL1;2;
USBXFS1;2;
USBXFS2;2;
USBXST1;2;
USBXST2;4;
USBXTHY;2;
USDVIVC;0.6;
USENVAXR;0.6;
USENVEXTL;0.6;
USENVEXTR;0.6;
USINLUMVAG;0.6;
USLEXVB;0.6;
USLEXVUL;0.6;
USLEXVUR;0.6;
USLNAL;0.6;
USLNAR;0.6;
USLNGL;0.6;
USLNGR;0.6;
USLNHN;0.6;
USMSKST;0.6;
USPEL;0.6;
USPELTD;0.6;
USPELTV;0.6;
USPELUB;0.6;
USPELUBPV;0.6;
USREN;0.6;
USRUQ;0.6;
USSTHN;0.6;
USTES;0.6;
USTH;0.6;
USUATCOLL;0.6;
USUATCOLR;0.6;
USUEXVB;0.6;
USUEXVUL;0.6;
USUEXVUR;0.6;
USXCRANPB;0.6;
ACH1;0;should not be assigned
CE;1;
ERCP;0.2;
ESOPH;1;
ESOPHS;0.2;
ETS;1;
GI;1;
GISB;1;
VCUGUK;0.2;
